Variable,Value,Min,Max,Assumption,Calibrated Output,Climate Impact Parameter,Discrete Outflow,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Output,Parameter,Policy,Unit
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[34]",1.4470419357502,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[35]",0.535157159824449,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[36]",1.23179717245164,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[37]",1.40756290877447,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[38]",1.3679681243597,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[39]",1.20764852406518,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[40]",1.30564591918621,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[41]",1.2834601579067,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[42]",1.2254118470806,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[43]",0.863828602312008,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[44]",0.567437181504621,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[45]",1.5582910789034,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[46]",0.594808836897749,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[47]",0.309658398836632,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[48]",1.17758022966687,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[49]",1.03786204854382,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[50]",1.4087775348898,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[51]",1.84597966018065,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[52]",1.59408154317543,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[53]",1.07979816630276,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[54]",1.17233544125477,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[55]",1.65620770500273,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[56]",0.87915013336044,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[57]",1.04572252495831,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[58]",1.55660956283682,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[59]",1.20527553654689,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[60]",1.46950112269738,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[61]",1.1630256711169,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[62]",1.02375478395061,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[63]",1.1919098180864,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[64]",1.45527477171219,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[65]",0.70710826030332,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[66]",1.01590788772729,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[67]",0.957569266733589,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[68]",1.05793000643758,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[69]",1.44380477030311,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[70]",1.17669900137536,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[71]",0.964558197360687,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[72]",1.0794536224135,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[73]",0.963604263238754,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[74]",1.66307100530911,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[75]",1.18455731094319,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[76]",1.40885047120178,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[77]",1.42971813495025,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[78]",1.30274278857313,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[79]",1.04016075651312,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[80]",1.00439181794896,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[81]",1.28168613298783,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[82]",1.08831818754363,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[83]",1.46545525342968,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[84]",1.12562863919705,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[85]",1.17887148734646,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[86]",1.88827183038923,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[87]",0.699895619158665,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[88]",0.725896520022619,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[89]",0.891420475518477,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[90]",1.49900317967302,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[91]",1.6734849755051,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[92]",1.10952649499927,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[93]",1.66392789468617,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[94]",1.32865870972929,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[95]",0.81414402780439,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[96]",1.23256964923924,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[97]",0.422727070982976,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[98]",1.84242052288764,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[99]",1.68235268443647,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[100]",1.32340146979807,,,,,,,,1,,1,,,,
"Energy Balance Model.earth surface area",510072000000000,,,,,,,,,,,,,,1
"Energy Balance Model.Heat Capacity of Deep Ocean[1]",69.0874875294483,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[2]",363.392855024429,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[3]",132.899554139774,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[4]",52.0507806540366,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[5]",37.6584764593348,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[6]",124.028206613769,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[7]",147.198303246796,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[8]",101.722823680157,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[9]",161.210402220925,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[10]",84.9657106134896,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[11]",117.958551771129,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[12]",68.4680479261818,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[13]",134.668782711615,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[14]",31.6052605505954,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[15]",72.485376213184,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[16]",190.52511663072,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[17]",90.5132362690984,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[18]",32.2024436414061,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[19]",60.3659703614799,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[20]",142.080359544957,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[21]",100.813466430045,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[22]",75.0331188889496,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[23]",39.9713495437863,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[24]",36.1778079134659,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[25]",30.4432913069163,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[26]",106.159162640422,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[27]",49.3361029632768,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[28]",133.048263442237,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[29]",68.4309276883067,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[30]",76.3747206737787,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[31]",41.7345936564086,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[32]",158.185187450671,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[33]",138.618605836128,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[34]",100.784630871416,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[35]",127.229925477359,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[36]",169.551772094422,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[37]",44.0426031719429,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[38]",88.6810037380557,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[39]",44.49155558322,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[40]",58.5031434809847,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[41]",45.5003184753114,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[42]",96.1640767865357,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[43]",87.7260405410796,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[44]",136.375402013705,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[45]",32.855428044415,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[46]",247.865867745484,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[47]",378.406533948283,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[48]",83.2946007291726,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[49]",65.9844699931083,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[50]",65.540343790892,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[51]",20.4755476045701,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[52]",116.61276389574,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[53]",114.784950611173,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[54]",34.1690133542434,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[55]",108.365239293394,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[56]",156.619582779014,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[57]",165.074051429435,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[58]",24.7325919548232,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[59]",102.907387298757,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[60]",56.4809389845578,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[61]",107.987870475897,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[62]",127.965650076023,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[63]",123.341984680674,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[64]",59.1745139097048,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[65]",246.514618206319,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[66]",109.466742899597,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[67]",85.3363972637782,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[68]",23.2764823688862,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[69]",34.47241931895,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[70]",42.6724489119211,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[71]",99.8686282219829,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[72]",78.7564028855466,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[73]",170.482429804146,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[74]",66.4993272046455,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[75]",90.5164386872814,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[76]",65.6425694004566,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[77]",94.8897468362241,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[78]",65.0893748993938,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[79]",111.171891467771,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[80]",196.370622366082,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[81]",40.0259693154611,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[82]",175.04892551961,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[83]",160.779341188209,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[84]",104.151969893967,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[85]",161.260193800569,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[86]",42.7428296669898,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[87]",136.769170421145,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[88]",34.2647596621135,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[89]",183.941449204095,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[90]",50.2635186657848,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[91]",74.1328521875438,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[92]",189.875583054807,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[93]",54.7756155707088,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[94]",56.2124339488359,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[95]",224.792317114608,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[96]",36.5827239458477,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[97]",309.663362703924,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[98]",49.4531559537389,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[99]",105.766560419432,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Deep Ocean[100]",84.0627400082209,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[1]",5.89278558196898,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[2]",4.49288144553806,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[3]",4.19403344987402,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[4]",2.72744179185912,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[5]",3.43010386126268,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[6]",3.40040326542647,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[7]",4.17259537413889,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[8]",4.91412055119692,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[9]",3.61408822903111,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[10]",4.17835630214691,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[11]",4.87816292245334,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[12]",4.12765057544616,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[13]",2.05501273154705,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[14]",3.29990193292153,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[15]",4.72531862017987,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[16]",3.84546811450548,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[17]",3.54559904278992,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[18]",5.41783719714541,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[19]",3.5909705742068,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[20]",6.67249597742245,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[21]",2.34532247018477,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[22]",5.22046372087359,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[23]",3.74504798470222,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[24]",5.55826582969632,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[25]",3.31319627962286,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[26]",3.77729373820083,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[27]",4.80428145494675,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[28]",5.29612591562116,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[29]",3.73156229735866,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[30]",4.17486600689823,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[31]",4.14993159196308,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[32]",6.48299606978749,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[33]",3.41459838127395,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[34]",5.05470211423952,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[35]",3.53150654872598,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[36]",5.1161471666945,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[37]",3.05854026548457,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[38]",3.33543684133261,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[39]",3.4692982777426,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[40]",4.03000456851126,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[41]",3.10842389514276,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[42]",2.422403012225,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[43]",4.18479169430215,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[44]",5.51531241086417,,,,,,,,1,,1,,,,
"Energy Balance Model.Heat Capacity of Land & Ocean Surface[45]",3.84197757053092,,,,,,,,1,,1,,,,
